position,title,artist,weeks,album_cover
1,Dancing with Tears in my Eyes,Velvet,5,https://i.scdn.co/image/ab67616d0000b27366ce6e9f5ec1095d4964e6ba
2,MERRY NOTHIN,Jessie Reyez,11,https://i.scdn.co/image/ab67616d0000b273d3ed7c42104cfd438398d228
3,LSR/CITY,without u,12,https://i.scdn.co/image/ab67616d0000b27374e2df39a79fccbeaf59af82
4,NERIAH,Don't Let Go,6,https://i.scdn.co/image/ab67616d0000b2730ce150e4687218d41fff6729
5,No Tears,Minelli,12,https://i.scdn.co/image/ab67616d0000b2739c072a35268399db703a7ac1
6,Paper Planes,M.I.A,25,https://i.scdn.co/image/ab67616d0000b273310d9098fbbde47bf7785637
7,Petrichor,Raine,14,https://i.scdn.co/image/ab67616d0000b27359f4f157ae5fe6955c44ce58
8,TOKYO X9,"Kowskii, Ao",3,https://i.scdn.co/image/ab67616d0000b2737556ebe1783bb067315b0fdf
9,able machines,Can you Keep a Secret?,16,https://i.scdn.co/image/ab67616d0000b273abe4451f72c54856efe6d96b
10,Don't let me Down,Umbra Moon,3,https://i.scdn.co/image/ab67616d0000b273c9f24801fdb807bc37072621
11, Fake It,w-inds.,1,https://i.scdn.co/image/ab67616d0000b273aecc8fb589e7033fd97d31a2
12,Personal Torture,LUNA,1,https://i.scdn.co/image/ab67616d0000b2733da224c1d85257ff2ca82fb8
13,Sempurna,Naim Daniel,5,https://i.scdn.co/image/ab67616d0000b273adfc0d3671b0bd93b72cf826
14,Arilena Ara,Dashuria Ime,11,https://i.scdn.co/image/ab67616d0000b273af33cc929a03f2d1c5051aba
